Datum,Emittent,Pfandbriefart,Fälligkeit,Spread,,ausstehendes Volumen,Kupon,,ISIN
03.01.2024,Aareal Bank,HypPfe,01.02.2027,34,6,500000000,2,250,DE000AAR0348
03.01.2024,Aareal Bank,HypPfe,01.02.2030,39,4,750000000,0,125,DE000AAR0314
03.01.2024,APOBANK,HypPfe,06.02.2029,19,3,500000000,0,10,XS2113737097
03.01.2024,APOBANK,HypPfe,05.07.2028,18,2,500000000,0,750,XS1852086211
03.01.2024,APOBANK,HypPfe,05.10.2027,15,3,500000000,0,750,XS1693853944
03.01.2024,APOBANK,HypPfe,14.02.2025,5,2,500000000,0,500,XS1770021860
03.01.2024,APOBANK,HypPfe,13.11.2029,20,2,500000000,0,50,XS2079126467
03.01.2024,BAUSCH,HypPfe,13.09.2029,15,9,500000000,2,375,DE000A30VN02
03.01.2024,BAUSCH,HypPfe,27.04.2033,30,9,500000000,0,200,DE000A3E5S18
03.01.2024,BAUSCH,HypPfe,22.10.2030,22,2,500000000,0,10,DE000A3H24G6
03.01.2024,BAUSCH,HypPfe,24.06.2032,27,7,500000000,2,875,DE000A30V8H6
03.01.2024,BAUSCH,HypPfe,28.10.2031,24,9,500000000,0,200,DE000A3MP6H1
03.01.2024,BAUSCH,HypPfe,17.05.2034,36,3,500000000,2,0,DE000A30VH59
03.01.2024,BAYERN LB,OePfe,05.02.2029,17,8,500000000,0,750,DE000BLB6JH4
03.01.2024,BAYERN LB,OePfe,19.03.2025,2,1,500000000,0,500,DE000BLB6JD3
03.01.2024,BAYERN LB,HypPfe,19.10.2027,11,0,500000000,3,125,DE000BLB6JT9
03.01.2024,BAYERN LB,OePfe,10.09.2025,4,5,500000000,0,875,DE000BLB6H95
03.01.2024,BAYERN LB,OePfe,12.01.2033,22,8,500000000,2,875,DE000BLB6JR3
03.01.2024,BAYERN LB,OePfe,02.11.2029,18,9,500000000,0,125,DE000BLB6JL6
03.01.2024,BAYERN LB,OePfe,01.09.2031,19,5,500000000,2,125,DE000BLB6JQ5
03.01.2024,BAYERN LB,HypPfe,14.01.2025,0,2,500000000,0,250,DE000BLB6JG6
03.01.2024,BAYERN LB,OePfe,19.07.2027,11,1,500000000,0,625,DE000BLB6JE1
03.01.2024,BAYERN LB,OePfe,20.01.2026,5,7,500000000,0,750,DE000BLB6JB7
03.01.2024,BAYERN LB,OePfe,19.01.2028,17,9,650000000,0,750,DE000BLB6JC5
03.01.2024,BAYERN LB,OePfe,28.06.2032,18,7,500000000,2,500,DE000BLB6JP7
03.01.2024,BAYERN LB,HypPfe,11.01.2027,10,5,500000000,3,500,DE000BLB6J02
